date,new_cases
"Tuesday, March 17, 2020",2
"Wednesday, March 18, 2020",3
"Thursday, March 19, 2020",2
"Saturday, March 21, 2020",7
"Sunday, March 22, 2020",7
"Monday, March 23, 2020",3
"Tuesday, March 24, 2020",6
"Wednesday, March 25, 2020",6
"Friday, March 27, 2020",9
"Monday, March 30, 2020",1
"Wednesday, April 1, 2020",2
"Thursday, April 2, 2020",3
"Friday, April 3, 2020",2
"Saturday, April 4, 2020",5
"Sunday, April 5, 2020",9
"Monday, April 6, 2020",18
"Tuesday, April 7, 2020",35
"Wednesday, April 8, 2020",41
"Thursday, April 9, 2020",54
"Friday, April 10, 2020",112
"Saturday, April 11, 2020",94
"Sunday, April 12, 2020",58
"Monday, April 13, 2020",139
"Tuesday, April 14, 2020",182
"Wednesday, April 15, 2020",209
"Thursday, April 16, 2020",219
"Friday, April 17, 2020",341
"Saturday, April 18, 2020",266
"Sunday, April 19, 2020",306
"Monday, April 20, 2020",312
"Tuesday, April 21, 2020",492
"Wednesday, April 22, 2020",434
"Thursday, April 23, 2020",390
"Friday, April 24, 2020",414
"Saturday, April 25, 2020",503
"Sunday, April 26, 2020",309
"Monday, April 27, 2020",418
"Tuesday, April 28, 2020",497
"Wednesday, April 29, 2020",549
"Thursday, April 30, 2020",641
"Friday, May 1, 2020",564
"Saturday, May 2, 2020",571
"Sunday, May 3, 2020",552
"Monday, May 4, 2020",665
"Tuesday, May 5, 2020",688
"Wednesday, May 6, 2020",786
"Thursday, May 7, 2020",790
"Friday, May 8, 2020",706
"Saturday, May 9, 2020",709
"Sunday, May 10, 2020",636
"Monday, May 11, 2020",887
"Tuesday, May 12, 2020",1034
"Wednesday, May 13, 2020",969
"Thursday, May 14, 2020",1162
"Friday, May 15, 2020",1041
"Saturday, May 16, 2020",1202
"Sunday, May 17, 2020",930
"Monday, May 18, 2020",1273
"Tuesday, May 19, 2020",1602
"Wednesday, May 20, 2020",1251
"Thursday, May 21, 2020",1617
"Friday, May 22, 2020",1773
"Saturday, May 23, 2020",1694
"Sunday, May 24, 2020",1873
"Monday, May 25, 2020",1532
"Tuesday, May 26, 2020",1975
"Wednesday, May 27, 2020",1166
"Thursday, May 28, 2020",1541
"Friday, May 29, 2020",2029
"Saturday, May 30, 2020",2523
"Sunday, May 31, 2020",1764
"Monday, June 1, 2020",2545
"Tuesday, June 2, 2020",2381
"Wednesday, June 3, 2020",2911
"Thursday, June 4, 2020",2695
"Friday, June 5, 2020",2423
"Saturday, June 6, 2020",2828
"Sunday, June 7, 2020",2635
"Monday, June 8, 2020",2743
"Tuesday, June 9, 2020",2735
"Wednesday, June 10, 2020",3171
"Thursday, June 11, 2020",3190
"Friday, June 12, 2020",3187
"Saturday, June 13, 2020",3471
"Sunday, June 14, 2020",2856
"Monday, June 15, 2020",3141
"Tuesday, June 16, 2020",3099
"Wednesday, June 17, 2020",3862
"Thursday, June 18, 2020",4008
"Friday, June 19, 2020",3803
"Saturday, June 20, 2020",3243
"Sunday, June 21, 2020",3240
"Monday, June 22, 2020",3531
"Tuesday, June 23, 2020",3480
"Wednesday, June 24, 2020",3412
"Thursday, June 25, 2020",3462
"Friday, June 26, 2020",3946
"Saturday, June 27, 2020",3868
"Sunday, June 28, 2020",3504
"Monday, June 29, 2020",3809
"Tuesday, June 30, 2020",4014
"Wednesday, July 1, 2020",3682
"Thursday, July 2, 2020",3775
"Friday, July 3, 2020",4019
"Saturday, July 4, 2020",3114
"Sunday, July 5, 2020",3288
"Monday, July 6, 2020",2738
"Tuesday, July 7, 2020",3201
"Wednesday, July 8, 2020",3027
"Thursday, July 9, 2020",3489
"Friday, July 10, 2020",3360
"Saturday, July 11, 2020",2949
"Sunday, July 12, 2020",2686
"Monday, July 13, 2020",2666
"Tuesday, July 14, 2020",3099
"Wednesday, July 15, 2020",3163
"Thursday, July 16, 2020",3533
"Friday, July 17, 2020",2733
"Saturday, July 18, 2020",3034
